"","temp","year","doy"
"1",11.41,1880,14
"2",11.61,1880,47
"3",12.44,1880,76
"4",13.37,1880,105
"5",14.38,1880,138
"6",14.95,1880,167
"7",15.25,1880,197
"8",15.2,1880,229
"9",14.52,1880,259
"10",13.41,1880,288
"11",12.33,1880,321
"12",11.68,1880,350
"13",11.39,1881,14
"14",11.71,1881,47
"15",12.56,1881,76
"16",13.58,1881,105
"17",14.54,1881,138
"18",14.97,1881,167
"19",15.43,1881,197
"20",15.27,1881,229
"21",14.52,1881,259
"22",13.43,1881,288
"23",12.37,1881,321
"24",11.79,1881,350
"25",11.75,1882,14
"26",11.99,1882,47
"27",12.57,1882,76
"28",13.36,1882,105
"29",14.33,1882,138
"30",14.93,1882,167
"31",15.27,1882,197
"32",15.23,1882,229
"33",14.53,1882,259
"34",13.41,1882,288
"35",12.39,1882,321
"36",11.5,1882,350
"37",11.3,1883,14
"38",11.48,1883,47
"39",12.41,1883,76
"40",13.35,1883,105
"41",14.31,1883,138
"42",15.08,1883,167
"43",15.37,1883,197
"44",15.16,1883,229
"45",14.46,1883,259
"46",13.54,1883,288
"47",12.32,1883,321
"48",11.75,1883,350
"49",11.46,1884,14
"50",11.78,1884,47
"51",12.17,1884,76
"52",13.12,1884,105
"53",14.14,1884,138
"54",14.8,1884,167
"55",15.11,1884,197
"56",15.03,1884,229
"57",14.4,1884,259
"58",13.4,1884,288
"59",12.21,1884,321
"60",11.55,1884,350
"61",11,1885,14
"62",11.51,1885,47
"63",12.26,1885,76
"64",13.11,1885,105
"65",14.02,1885,138
"66",14.72,1885,167
"67",15.09,1885,197
"68",14.98,1885,229
"69",14.38,1885,259
"70",13.41,1885,288
"71",12.31,1885,321
"72",11.75,1885,350
"73",11.15,1886,14
"74",11.34,1886,47
"75",12.09,1886,76
"76",13.24,1886,105
"77",14.23,1886,138
"78",14.81,1886,167
"79",15.25,1886,197
"80",14.99,1886,229
"81",14.43,1886,259
"82",13.37,1886,288
"83",12.28,1886,321
"84",11.6,1886,350
"85",10.87,1887,14
"86",11.28,1887,47
"87",12.17,1887,76
"88",13.18,1887,105
"89",14.17,1887,138
"90",14.91,1887,167
"91",15.17,1887,197
"92",14.95,1887,229
"93",14.41,1887,259
"94",13.29,1887,288
"95",12.29,1887,321
"96",11.53,1887,350
"97",11.25,1888,14
"98",11.49,1888,47
"99",12.11,1888,76
"100",13.32,1888,105
"101",14.25,1888,138
"102",14.98,1888,167
"103",15.32,1888,197
"104",15.14,1888,229
"105",14.55,1888,259
"106",13.66,1888,288
"107",12.57,1888,321
"108",11.81,1888,350
"109",11.5,1889,14
"110",12.02,1889,47
"111",12.58,1889,76
"112",13.62,1889,105
"113",14.47,1889,138
"114",15.05,1889,167
"115",15.35,1889,197
"116",15.09,1889,229
"117",14.42,1889,259
"118",13.39,1889,288
"119",12.21,1889,321
"120",11.57,1889,350
"121",11.17,1890,14
"122",11.4,1890,47
"123",12.13,1890,76
"124",13.23,1890,105
"125",14.08,1890,138
"126",14.91,1890,167
"127",15.15,1890,197
"128",14.91,1890,229
"129",14.3,1890,259
"130",13.4,1890,288
"131",12.11,1890,321
"132",11.54,1890,350
"133",11.25,1891,14
"134",11.37,1891,47
"135",12.34,1891,76
"136",13.25,1891,105
"137",14.31,1891,138
"138",14.95,1891,167
"139",15.25,1891,197
"140",15.12,1891,229
"141",14.51,1891,259
"142",13.43,1891,288
"143",12.24,1891,321
"144",11.81,1891,350
"145",11.3,1892,14
"146",11.74,1892,47
"147",12.12,1892,76
"148",13.19,1892,105
"149",14.24,1892,138
"150",14.93,1892,167
"151",15.11,1892,197
"152",15.02,1892,229
"153",14.5,1892,259
"154",13.51,1892,288
"155",12.13,1892,321
"156",11.48,1892,350
"157",10.78,1893,14
"158",11.28,1893,47
"159",12.3,1893,76
"160",13.26,1893,105
"161",14.14,1893,138
"162",14.9,1893,167
"163",15.28,1893,197
"164",15.04,1893,229
"165",14.44,1893,259
"166",13.46,1893,288
"167",12.36,1893,321
"168",11.54,1893,350
"169",11.07,1894,14
"170",11.56,1894,47
"171",12.3,1894,76
"172",13.08,1894,105
"173",14.17,1894,138
"174",14.75,1894,167
"175",15.19,1894,197
"176",15.06,1894,229
"177",14.39,1894,259
"178",13.42,1894,288
"179",12.29,1894,321
"180",11.65,1894,350
"181",11.18,1895,14
"182",11.42,1895,47
"183",12.2,1895,76
"184",13.31,1895,105
"185",14.2,1895,138
"186",14.95,1895,167
"187",15.26,1895,197
"188",15.12,1895,229
"189",14.54,1895,259
"190",13.54,1895,288
"191",12.38,1895,321
"192",11.71,1895,350
"193",11.37,1896,14
"194",11.72,1896,47
"195",12.26,1896,76
"196",13.22,1896,105
"197",14.32,1896,138
"198",15.04,1896,167
"199",15.4,1896,197
"200",15.24,1896,229
"201",14.6,1896,259
"202",13.71,1896,288
"203",12.5,1896,321
"204",11.81,1896,350
"205",11.43,1897,14
"206",11.68,1897,47
"207",12.39,1897,76
"208",13.5,1897,105
"209",14.46,1897,138
"210",15.04,1897,167
"211",15.4,1897,197
"212",15.2,1897,229
"213",14.58,1897,259
"214",13.52,1897,288
"215",12.36,1897,321
"216",11.66,1897,350
"217",11.57,1898,14
"218",11.55,1898,47
"219",12.02,1898,76
"220",13.22,1898,105
"221",14.18,1898,138
"222",14.97,1898,167
"223",15.21,1898,197
"224",15.04,1898,229
"225",14.46,1898,259
"226",13.31,1898,288
"227",12.17,1898,321
"228",11.62,1898,350
"229",11.42,1899,14
"230",11.46,1899,47
"231",12.17,1899,76
"232",13.32,1899,105
"233",14.25,1899,138
"234",14.84,1899,167
"235",15.26,1899,197
"236",15.21,1899,229
"237",14.61,1899,259
"238",13.6,1899,288
"239",12.67,1899,321
"240",11.59,1899,350
"241",11.23,1900,14
"242",11.79,1900,47
"243",12.53,1900,76
"244",13.44,1900,105
"245",14.39,1900,138
"246",15.06,1900,167
"247",15.29,1900,197
"248",15.2,1900,229
"249",14.61,1900,259
"250",13.74,1900,288
"251",12.48,1900,321
"252",11.79,1900,350
"253",11.37,1901,14
"254",11.74,1901,47
"255",12.58,1901,76
"256",13.5,1901,105
"257",14.32,1901,138
"258",15.03,1901,167
"259",15.28,1901,197
"260",15.09,1901,229
"261",14.44,1901,259
"262",13.35,1901,288
"263",12.37,1901,321
"264",11.58,1901,350
"265",11.41,1902,14
"266",11.78,1902,47
"267",12.24,1902,76
"268",13.24,1902,105
"269",14.15,1902,138
"270",14.86,1902,167
"271",15.14,1902,197
"272",15,1902,229
"273",14.37,1902,259
"274",13.36,1902,288
"275",12.19,1902,321
"276",11.44,1902,350
"277",11.35,1903,14
"278",11.79,1903,47
"279",12.3,1903,76
"280",13.11,1903,105
"281",14.08,1903,138
"282",14.73,1903,167
"283",15.07,1903,197
"284",14.84,1903,229
"285",14.16,1903,259
"286",13.16,1903,288
"287",12.12,1903,321
"288",11.35,1903,350
"289",10.95,1904,14
"290",11.27,1904,47
"291",12.04,1904,76
"292",13.02,1904,105
"293",13.96,1904,138
"294",14.67,1904,167
"295",14.91,1904,197
"296",14.8,1904,229
"297",14.11,1904,259
"298",13.25,1904,288
"299",12.37,1904,321
"300",11.52,1904,350
"301",11.23,1905,14
"302",11.25,1905,47
"303",12.3,1905,76
"304",13.18,1905,105
"305",14.18,1905,138
"306",14.87,1905,167
"307",15.16,1905,197
"308",15.09,1905,229
"309",14.47,1905,259
"310",13.39,1905,288
"311",12.47,1905,321
"312",11.72,1905,350
"313",11.3,1906,14
"314",11.55,1906,47
"315",12.34,1906,76
"316",13.47,1906,105
"317",14.21,1906,138
"318",14.96,1906,167
"319",15.19,1906,197
"320",15.09,1906,229
"321",14.38,1906,259
"322",13.44,1906,288
"323",12.17,1906,321
"324",11.71,1906,350
"325",11.15,1907,14
"326",11.33,1907,47
"327",12.25,1907,76
"328",13.15,1907,105
"329",14.01,1907,138
"330",14.73,1907,167
"331",15.07,1907,197
"332",14.95,1907,229
"333",14.32,1907,259
"334",13.41,1907,288
"335",12.08,1907,321
"336",11.39,1907,350
